2026-04-28 16:31:02  [LOG] 2026-04-28T16:31:02.631565 | grand=33140.65 | mofet=27332.65 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 11, 'fighter_2025': 225, 'gamar_2025': 0, 'other_2025': 0, 'commander': 1, 'commander_days': 236, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 27332.65, 'tax_total': 5808, 'grand_total': 33140.65}
2026-04-28 16:31:04  [LOG] 2026-04-28T16:31:04.141929 | grand=15007.77 | mofet=9199.77 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 100, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 9199.77, 'tax_total': 5808, 'grand_total': 15007.77}
2026-04-28 16:31:04  [LOG] 2026-04-28T16:31:04.567146 | grand=19141 | mofet=13333 | tax=5808 | inputs={'routine_2023': 50, 'fighter_2023': 82, 'routine_2024': 0, 'fighter_2024': 97, 'routine_2025': 0, 'fighter_2025': 100, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 13333, 'tax_total': 5808, 'grand_total': 19141}
2026-04-28 16:31:05  [LOG] 2026-04-28T16:31:05.908750 | grand=23114.57 | mofet=17306.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 360, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 365, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 17306.57, 'tax_total': 5808, 'grand_total': 23114.57}
2026-04-28 16:31:07  [LOG] 2026-04-28T16:31:07.313730 | grand=8355.9 | mofet=3999.9 | tax=4356 | inputs={'routine_2023': 0, 'fighter_2023': 27, 'routine_2024': 0, 'fighter_2024': 92, 'routine_2025': 0, 'fighter_2025': 30, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 3999.9, 'tax_total': 4356, 'grand_total': 8355.9}
2026-04-28 16:31:09  [LOG] 2026-04-28T16:31:09.023055 | grand=28607.43 | mofet=22799.43 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 80, 'gamar_2025': 62, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 1, 'age_exempt_days': 142, 'mofet_total': 22799.43, 'tax_total': 5808, 'grand_total': 28607.43}
2026-04-28 16:31:09  [LOG] 2026-04-28T16:31:09.116169 | grand=29540.74 | mofet=23732.74 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 149, 'commander': 0, 'commander_days': 0, 'age_exempt': 1, 'age_exempt_days': 149, 'mofet_total': 23732.74, 'tax_total': 5808, 'grand_total': 29540.74}
2026-04-28 16:31:12  [LOG] 2026-04-28T16:31:12.287590 | grand=9674.57 | mofet=3866.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 102, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 3866.57, 'tax_total': 5808, 'grand_total': 9674.57}
2026-04-28 16:31:13  [LOG] 2026-04-28T16:31:13.407558 | grand=40473.8 | mofet=34665.8 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 90, 'routine_2024': 0, 'fighter_2024': 222, 'routine_2025': 0, 'fighter_2025': 260, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 34665.8, 'tax_total': 5808, 'grand_total': 40473.8}
2026-04-28 16:31:14  [LOG] 2026-04-28T16:31:14.611532 | grand=24607.53 | mofet=18799.53 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 172, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 18799.53, 'tax_total': 5808, 'grand_total': 24607.53}
2026-04-28 16:31:18  [LOG] 2026-04-28T16:31:18.822280 | grand=36340.57 | mofet=30532.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 9, 'routine_2024': 0, 'fighter_2024': 290, 'routine_2025': 0, 'fighter_2025': 229, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 30532.57, 'tax_total': 5808, 'grand_total': 36340.57}
