2026-04-28 17:06:40  [LOG] 2026-04-28T17:06:40.041058 | grand=49806.9 | mofet=43998.9 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 56, 'routine_2024': 0, 'fighter_2024': 228, 'routine_2025': 0, 'fighter_2025': 330, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 43998.9, 'tax_total': 5808, 'grand_total': 49806.9}
2026-04-28 17:06:46  [LOG] 2026-04-28T17:06:46.424093 | grand=50340.22 | mofet=44532.22 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 365, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 44532.22, 'tax_total': 5808, 'grand_total': 50340.22}
2026-04-28 17:06:49  [LOG] 2026-04-28T17:06:49.258136 | grand=5370.61 | mofet=2466.61 | tax=2904 | inputs={'routine_2023': 0, 'fighter_2023': 85, 'routine_2024': 0, 'fighter_2024': 107, 'routine_2025': 0, 'fighter_2025': 18.5, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 2466.61, 'tax_total': 2904, 'grand_total': 5370.61}
2026-04-28 17:06:49  [LOG] 2026-04-28T17:06:49.858504 | grand=9022.55 | mofet=4666.55 | tax=4356 | inputs={'routine_2023': 0, 'fighter_2023': 56, 'routine_2024': 0, 'fighter_2024': 49, 'routine_2025': 0, 'fighter_2025': 35, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 4666.55, 'tax_total': 4356, 'grand_total': 9022.55}
2026-04-28 17:06:50  [LOG] 2026-04-28T17:06:50.903351 | grand=49806.9 | mofet=43998.9 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 56, 'routine_2024': 0, 'fighter_2024': 228, 'routine_2025': 0, 'fighter_2025': 330, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 43998.9, 'tax_total': 5808, 'grand_total': 49806.9}
2026-04-28 17:06:50  [LOG] 2026-04-28T17:06:50.975334 | grand=9674.57 | mofet=3866.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 365, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 3866.57, 'tax_total': 5808, 'grand_total': 9674.57}
2026-04-28 17:06:52  [LOG] 2026-04-28T17:06:52.818340 | grand=19540.99 | mofet=13732.99 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 36, 'routine_2024': 0, 'fighter_2024': 29, 'routine_2025': 2, 'fighter_2025': 103, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 13732.99, 'tax_total': 5808, 'grand_total': 19540.99}
2026-04-28 17:06:53  [LOG] 2026-04-28T17:06:53.430160 | grand=10207.89 | mofet=4399.89 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 2, 'fighter_2024': 2, 'routine_2025': 3, 'fighter_2025': 60, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 4399.89, 'tax_total': 5808, 'grand_total': 10207.89}
2026-04-28 17:06:53  [LOG] 2026-04-28T17:06:53.467195 | grand=23140.9 | mofet=17332.9 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 60, 'routine_2024': 0, 'fighter_2024': 130, 'routine_2025': 0, 'fighter_2025': 130, 'gamar_2025': 0, 'other_2025': 0, 'commander': 1, 'commander_days': 130, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 17332.9, 'tax_total': 5808, 'grand_total': 23140.9}
2026-04-28 17:06:54  [LOG] 2026-04-28T17:06:54.739439 | grand=50340.22 | mofet=44532.22 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 365, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 44532.22, 'tax_total': 5808, 'grand_total': 50340.22}
2026-04-28 17:06:57  [LOG] 2026-04-28T17:06:57.150192 | grand=54473.45 | mofet=48665.45 | tax=5808 | inputs={'routine_2023': 5, 'fighter_2023': 61, 'routine_2024': 0, 'fighter_2024': 35, 'routine_2025': 0, 'fighter_2025': 365, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 48665.45, 'tax_total': 5808, 'grand_total': 54473.45}
2026-04-28 17:07:04  [LOG] 2026-04-28T17:07:04.468308 | grand=19007.67 | mofet=13199.67 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 130, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 13199.67, 'tax_total': 5808, 'grand_total': 19007.67}
2026-04-28 17:07:04  [LOG] 2026-04-28T17:07:04.915794 | grand=26607.48 | mofet=20799.48 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 187, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 20799.48, 'tax_total': 5808, 'grand_total': 26607.48}
2026-04-28 17:07:06  [LOG] 2026-04-28T17:07:06.308022 | grand=15807.75 | mofet=9999.75 | tax=5808 | inputs={'routine_2023': 18, 'fighter_2023': 94, 'routine_2024': 2, 'fighter_2024': 54, 'routine_2025': 0, 'fighter_2025': 75, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 9999.75, 'tax_total': 5808, 'grand_total': 15807.75}
2026-04-28 17:07:08  [LOG] 2026-04-28T17:07:08.385932 | grand=13154.57 | mofet=7346.57 | tax=5808 | inputs={'routine_2023': 10, 'fighter_2023': 84, 'routine_2024': 0, 'fighter_2024': 300, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 116, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 7346.57, 'tax_total': 5808, 'grand_total': 13154.57}
2026-04-28 17:07:10  [LOG] 2026-04-28T17:07:10.467574 | grand=50340.22 | mofet=44532.22 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 365, 'gamar_2025': 0, 'other_2025': 0, 'commander': 1, 'commander_days': 365, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 44532.22, 'tax_total': 5808, 'grand_total': 50340.22}
